Ticker,Name,Market Cap From (USD),Market Cap To (USD),Absolute Change (USD),Percentage Change (%),Rank From,Rank To,Rank Change,Market Share From (%),Market Share To (%)
GFG.DE,Global Fashion Group S.A.,95689681.29,95689681.29,0.00,0.00,129,129,0,0.0045,0.0045
0330.HK,Esprit Holdings Limited,60047039.28,60047039.28,0.00,0.00,133,133,0,0.0028,0.0028
DDS,"Dillard's, Inc.",8326030933.00,8326030933.00,0.00,0.00,34,34,0,0.3950,0.3950
MONTECARLO.NS,Monte Carlo Fashions Limited,138653705.73,138653705.73,0.00,0.00,124,124,0,0.0066,0.0066
VIPS,Vipshop Holdings Limited,8868045536.00,8868045536.00,0.00,0.00,30,30,0,0.4207,0.4207
DKS,"DICK'S Sporting Goods, Inc.",18231545689.00,18231545689.00,0.00,0.00,19,19,0,0.8649,0.8649
UA,"Under Armour, Inc.",2183585020.00,2183585020.00,0.00,0.00,64,64,0,0.1036,0.1036
OVS.MI,OVS S.p.A.,1131251634.54,1131251634.54,0.00,0.00,79,79,0,0.0537,0.0537
BORG.ST,Björn Borg AB (publ),150252655.11,150252655.11,0.00,0.00,123,123,0,0.0071,0.0071
KSS,Kohl's Corporation,1556263380.00,1556263380.00,0.00,0.00,73,73,0,0.0738,0.0738
LUXE,LuxExperience B.V.,719644719.00,719644719.00,0.00,0.00,90,90,0,0.0341,0.0341
DLTI.TA,Delta Israel Brands Ltd,718091166.76,718091166.76,0.00,0.00,91,91,0,0.0341,0.0341
GES,"Guess', Inc.",875957860.00,875957860.00,0.00,0.00,87,87,0,0.0416,0.0416
VFC,V.F. Corporation,5351452900.00,5351452900.00,0.00,0.00,43,43,0,0.2539,0.2539
UNF,UniFirst Corporation,3321218640.00,3321218640.00,0.00,0.00,52,52,0,0.1576,0.1576
RVLV,"Revolve Group, Inc.",1605579119.00,1605579119.00,0.00,0.00,72,72,0,0.0762,0.0762
BOOZT.ST,Boozt AB (publ),639792224.28,639792224.28,0.00,0.00,97,97,0,0.0304,0.0304
LREN3.SA,Lojas Renner S.A.,2946333918.13,2946333918.13,0.00,0.00,55,55,0,0.1398,0.1398
TDUP,ThredUp Inc.,1438520573.00,1438520573.00,0.00,0.00,74,74,0,0.0682,0.0682
2368.HK,Eagle Nice (International) Holdings Limited,289812032.00,289812032.00,0.00,0.00,111,111,0,0.0137,0.0137
PLCE,"The Children's Place, Inc.",99755550.00,99755550.00,0.00,0.00,127,127,0,0.0047,0.0047
2331.HK,Li Ning Company Limited,6483247897.98,6483247897.98,0.00,0.00,41,41,0,0.3076,0.3076
ASC.L,ASOS Plc,4966736.44,4966736.44,0.00,0.00,145,145,0,0.0002,0.0002
CATO,The Cato Corporation,73026904.00,73026904.00,0.00,0.00,130,130,0,0.0035,0.0035
BURL,"Burlington Stores, Inc.",17717268828.00,17717268828.00,0.00,0.00,20,20,0,0.8405,0.8405
GOOS,Canada Goose Holdings Inc.,1126669346.00,1126669346.00,0.00,0.00,81,81,0,0.0534,0.0534
SDRY.L,Superdry plc,44332.64,44332.64,0.00,0.00,150,150,0,0.0000,0.0000
NKE,"NIKE, Inc.",115761030436.00,115761030436.00,0.00,0.00,6,6,0,5.4915,5.4915
LPP.WA,Lpp S.A.,8607101485.72,8607101485.72,0.00,0.00,31,31,0,0.4083,0.4083
YOU.DE,ABOUT YOU Holding AG,1294193654.97,1294193654.97,0.00,0.00,75,75,0,0.0614,0.0614
SMCP.PA,SMCP S.a.,618971210.37,618971210.37,0.00,0.00,98,98,0,0.0294,0.0294
WEYS,"Weyco Group, Inc.",294289873.00,294289873.00,0.00,0.00,110,110,0,0.0140,0.0140
RL,Ralph Lauren Corporation,17312087497.00,17312087497.00,0.00,0.00,21,21,0,0.8213,0.8213
KTB,"Kontoor Brands, Inc.",4301998822.00,4301998822.00,0.00,0.00,47,47,0,0.2041,0.2041
TPR,"Tapestry, Inc.",20741637840.00,20741637840.00,0.00,0.00,16,16,0,0.9840,0.9840
CPRI,Capri Holdings Limited,2558341520.00,2558341520.00,0.00,0.00,59,59,0,0.1214,0.1214
BIRK,Birkenstock Holding plc,10012401370.00,10012401370.00,0.00,0.00,27,27,0,0.4750,0.4750
CTAS,Cintas Corporation,86878027020.00,86878027020.00,0.00,0.00,10,10,0,4.1214,4.1214
SHOO,"Steven Madden, Ltd.",2073136234.00,2073136234.00,0.00,0.00,68,68,0,0.0983,0.0983
BOOT,"Boot Barn Holdings, Inc.",5301396600.00,5301396600.00,0.00,0.00,44,44,0,0.2515,0.2515
CHS,"Chico's FAS, Inc.",937038630.00,937038630.00,0.00,0.00,83,83,0,0.0445,0.0445
COLM,Columbia Sportswear Company,3095606052.00,3095606052.00,0.00,0.00,54,54,0,0.1469,0.1469
ZGN,Ermenegildo Zegna N.V.,2083785000.00,2083785000.00,0.00,0.00,66,66,0,0.0989,0.0989
BOSS.DE,Hugo Boss AG,3436389086.70,3436389086.70,0.00,0.00,51,51,0,0.1630,0.1630
NXT.L,NEXT plc,193004803.13,193004803.13,0.00,0.00,120,120,0,0.0092,0.0092
ALPA4.SA,Alpargatas S.A.,1163650264.91,1163650264.91,0.00,0.00,77,77,0,0.0552,0.0552
LITB,"LightInTheBox Holding Co., Ltd.",11401218.00,11401218.00,0.00,0.00,143,143,0,0.0005,0.0005
9983.T,"Fast Retailing Co., Ltd.",101033473176.30,101033473176.30,0.00,0.00,7,7,0,4.7929,4.7929
3612.T,"World Co., Ltd.",690917332.95,690917332.95,0.00,0.00,96,96,0,0.0328,0.0328
ATZ.TO,Aritzia Inc.,5466268575.87,5466268575.87,0.00,0.00,42,42,0,0.2593,0.2593
AEF.MI,Aeffe S.p.A.,53107770.64,53107770.64,0.00,0.00,139,139,0,0.0025,0.0025
JWN,"Nordstrom, Inc.",4124015297.00,4124015297.00,0.00,0.00,48,48,0,0.1956,0.1956
DECK,Deckers Outdoor Corporation,16184221300.00,16184221300.00,0.00,0.00,22,22,0,0.7678,0.7678
MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",287475170667.28,287475170667.28,0.00,0.00,1,1,0,13.6374,13.6374
MAVI.IS,Mavi Giyim Sanayi ve Ticaret A.S.,844696206.27,844696206.27,0.00,0.00,89,89,0,0.0401,0.0401
MGOL,MGO Global Inc. Common Stock,3411030.00,3411030.00,0.00,0.00,147,147,0,0.0002,0.0002
BRBY.L,Burberry Group plc,59330835.16,59330835.16,0.00,0.00,134,134,0,0.0028,0.0028
LINDEX.HE,Lindex Group Oyj,564486744.62,564486744.62,0.00,0.00,101,101,0,0.0268,0.0268
PVH,PVH Corp.,3839598497.00,3839598497.00,0.00,0.00,49,49,0,0.1821,0.1821
ZUMZ,Zumiez Inc.,284329600.00,284329600.00,0.00,0.00,112,112,0,0.0135,0.0135
BBWI,"Bath & Body Works, Inc.",6579017080.00,6579017080.00,0.00,0.00,40,40,0,0.3121,0.3121
SFER.MI,Salvatore Ferragamo S.p.A.,929249314.70,929249314.70,0.00,0.00,84,84,0,0.0441,0.0441
ABFRL.NS,Aditya Birla Fashion and Retail Limited,1128910403.03,1128910403.03,0.00,0.00,80,80,0,0.0536,0.0536
