Symbol,Rate,Change %,Change,Day Low,Day High,Base Currency,Quote Currency,Timestamp
AED/AUD,0.43868,0.29035,0.00127,0.43757,0.44042,AED,AUD,1736432529
AED/BHD,0.10261,0.05746412,0.000058932118,0.10245,0.10271,AED,BHD,1736432282
AED/CAD,0.39271,0.1453,0.00056979402,0.39062,0.39283,AED,CAD,1736432529
AED/CHF,0.24749,-0.01212023,-0.00003,0.2472,0.24845,AED,CHF,1736432529
AED/DKK,1.96962,96.96154,0.96962,1.96799,1.97294,AED,DKK,1736432282
AED/EUR,0.26375,0.0569044,0.00015,0.26352,0.26467,AED,EUR,1736432529
AED/GBP,0.22137,0.51578,0.00113591,0.21968,0.22219,AED,GBP,1736432529
AED/ILS,0.99581,-0.41903,-0.00419031,0.99405,1.00811,AED,ILS,1736432783
AED/INR,23.318,-0.10282,-0.024,23.313,23.42469,AED,INR,1736432529
AED/JOD,0.19311,-3.44509,-0.00689018,0.19295,0.19345,AED,JOD,1736432282
AED/JPY,42.928,-0.30655,-0.132,42.881,43.098,AED,JPY,1736432529
AED/KWD,0.08393875,-0.22495,-0.00018924604,0.08385905,0.08407522,AED,KWD,1736432282
AED/NOK,3.10974,0.07463383,0.00231919,3.0979,3.12032,AED,NOK,1736432529
AED/NZD,0.48579,0.18561,0.0009,0.48494,0.48794,AED,NZD,1736432529
AED/OMR,0.10482,0.5036,0.000525205913,0.10428,0.10494,AED,OMR,1736432282
AED/PKR,75.857,0.05275862,0.04,75.813,75.867,AED,PKR,1736418730
AED/QAR,0.99142,0.53953,0.00532027,0.986,0.99396,AED,QAR,1736432282
AED/SAR,1.02218,0.58805,0.00597574,1.016,1.02239,AED,SAR,1736432282
AED/SEK,3.03831,-0.05165132,-0.00157014,3.0262,3.04822,AED,SEK,1736432529
AED/SGD,0.37179,-0.01613554,-0.00006,0.37166,0.37399,AED,SGD,1736432529
AED/USD,0.27228,0,0,0.27224,0.27232,AED,USD,1736432802
AED/ZAR,5.12933,-0.15517,-0.00797164,5.12309,5.17047,AED,ZAR,1736432803
AFN/EUR,0.01365188,0.21706,0.000029569242,0.01362825,0.01384083,AFN,EUR,1736425143
AFN/GBP,0.01144541,0.68985,0.00007841478,0.01128916,0.01144541,AFN,GBP,1736425143
AFN/USD,0.01408308,0.06984884,0.00000983,0.01407325,0.01408308,AFN,USD,1736392964
ALL/EUR,0.01028066,-0.20561,-0.000021181955,0.01028066,0.01030184,ALL,EUR,1736431351
ALL/GBP,0.00853971,0.24765,0.00002109648,0.00831567,0.00854044,ALL,GBP,1736432529
ALL/USD,0.01050751,-0.22066,-0.000023237,0.01022034,0.01061571,ALL,USD,1736432529
AMD/EUR,0.00244648,-0.12722,-0.00000311631,0.00242836,0.00261917,AMD,EUR,1736432529
AMD/GBP,0.00205044,0.33012,0.000006746663,0.00189723,0.00205503,AMD,GBP,1736432529
AMD/USD,0.00252302,-0.09588413,-0.0000024215,0.00252302,0.00252544,AMD,USD,1736432136
ARS/AUD,0.00155578,0.1547,0.000002403113,0.00155471,0.0015642,ARS,AUD,1736432759
ARS/BRL,0.00588263,4.11743,0.000232634542,0.00564,0.00594918,ARS,BRL,1736432759
ARS/CAD,0.00138853,0.02560771,0.00000035548,0.0013874,0.00139079,ARS,CAD,1736432759
ARS/CHF,0.000878796266,-0.11309,-0.000000994956,0.00087839743,0.000881514865,ARS,CHF,1736432759
