Symbol,Name,Market Cap (Original),Original Currency,Market Cap (EUR),Market Cap (USD),Exchange,Price,Active,Description,Homepage URL,Employees,Revenue,Revenue (USD),Working Capital Ratio,Quick Ratio,EPS,P/E Ratio,D/E Ratio,ROE,Timestamp
MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",317453571025,USD,317453571025,317453571025,EURONEXT,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
ABFRL.NS,Aditya Birla Fashion and Retail Limited,287528756848,USD,287528756848,287528756848,NSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
RMS.PA,Hermès International Société en commandite par actions,243235154070,USD,243235154070,243235154070,EURONEXT,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
ITX.MC,"Industria de Diseño Textil, S.A.",154532774000,USD,154532774000,154532774000,BME,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
1913.HK,Prada S.p.A.,153913412350,USD,153913412350,153913412350,HKSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
TJX,"The TJX Companies, Inc.",136152870000,USD,136152870000,136152870000,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
NKE,"NIKE, Inc.",112506156000,USD,112506156000,112506156000,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
CDI.PA,Christian Dior SE,109148400900,USD,109148400900,109148400900,EURONEXT,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
ARVIND.NS,Arvind Limited,107496000180,USD,107496000180,107496000180,NSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
EL.PA,EssilorLuxottica SA,106510577628,USD,106510577628,106510577628,EURONEXT,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
PPH.JO,Pepkor Holdings Limited,106122980000,USD,106122980000,106122980000,JNB,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
CTAS,Cintas Corporation,74502050218,USD,74502050218,74502050218,NASDAQ,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
1929.HK,Chow Tai Fook Jewellery Group Limited,67252362044,USD,67252362044,67252362044,HKSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
LUXIND.NS,Lux Industries Limited,60480806706,USD,60480806706,60480806706,NSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
ROST,"Ross Stores, Inc.",49960801357,USD,49960801357,49960801357,NASDAQ,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
LULU,Lululemon Athletica Inc.,46920559770,USD,46920559770,46920559770,NASDAQ,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
3998.HK,Bosideng International Holdings Limited,43631604535,USD,43631604535,43631604535,HKSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
2331.HK,Li Ning Company Limited,42562520479,USD,42562520479,42562520479,HKSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
MAVI.IS,Mavi Giyim Sanayi ve Ticaret A.S.,34640723200,USD,34640723200,34640723200,IST,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
LPP.WA,LPP SA,31614735200,USD,31614735200,31614735200,WSE,0,true,,,0,0,0,0,0,0,0,0,0,1640995199
